Actual,Predicted
38.72,35.574566
38.72,36.908978
32.0,30.230104
37.0,35.149746
31.0,28.395063
36.22,37.56768
31.0,30.354916
33.0,32.139107
68.43,44.2974
38.98,45.706703
31.0,28.937195
36.0,34.615387
45.0,38.493473
31.0,30.10483
31.0,30.145992
32.0,30.146456
38.24,38.1515
36.0,34.18227
31.0,29.79606
67.2,46.181908
33.0,32.28934
33.0,30.504688
50.19,46.03213
31.0,29.328814
31.0,29.471088
36.0,35.891575
37.0,33.75699
30.33,29.111929
31.0,30.096066
38.0,36.600204
50.0,43.980667
41.0,43.313263
